fight_id,detail_level,has_round_stats,has_sig_strikes,source,notes
b1a0800cda00,full,1,1,ufcstats,
37c3663b5864,full,1,1,ufcstats,
00224db9eaec,full,1,1,ufcstats,
5b9de5129abb,full,1,1,ufcstats,
50f70d87813c,full,1,1,ufcstats,
f368a7c674c4,full,1,1,ufcstats,
e7311fd768e2,full,1,1,ufcstats,
eb256a91fab5,full,1,1,ufcstats,
a4b38a01bdff,full,1,1,ufcstats,
eb562caa815e,full,1,1,ufcstats,
3902b7d86f6d,full,1,1,ufcstats,
1a4d5ff40821,full,1,1,ufcstats,
98db18e3db4f,full,1,1,ufcstats,
c23c4619a182,full,1,1,ufcstats,
c617eeb7cce3,full,1,1,ufcstats,
5a032371a30c,full,1,1,ufcstats,
8958a0643c21,full,1,1,ufcstats,
5447b6f45e05,full,1,1,ufcstats,
b0ba57f96967,full,1,1,ufcstats,
05b9b05c234b,full,1,1,ufcstats,
